track_id,track_name,artist_name,album_name,popularity,track_uri
0qeIFEGRQqHoaJtLCl0U73,DEGENERE 👑 (feat. benny blanco),Myke Towers,LA PANTERA NEGRA (DELUXE),81,spotify:track:0qeIFEGRQqHoaJtLCl0U73
4HYDUMY0xSpeBr0AMY9cUz,La Curiosidad,Jay Wheeler,Platonicos,81,spotify:track:4HYDUMY0xSpeBr0AMY9cUz
7iUtQNMRB8ZkKC4AmEuCJC,LA FALDA,Myke Towers,LVEU: VIVE LA TUYA...NO LA MIA,80,spotify:track:7iUtQNMRB8ZkKC4AmEuCJC
5ru2w4Y7xP58IXE6m4orW0,ILY,Kapo,ILY,80,spotify:track:5ru2w4Y7xP58IXE6m4orW0
655JkvIwu2rDCaD1hPf04g,Pareja Del Año,Sebastian Yatra,Dharma,77,spotify:track:655JkvIwu2rDCaD1hPf04g
03IpZ9yqJlo3EIgDQUgBSF,Nueva Era,Duki,AMERI,80,spotify:track:03IpZ9yqJlo3EIgDQUgBSF
7DACCN4AceR9hgiP9s99PC,Vetements,Eladio Carrion,DON KBRN,78,spotify:track:7DACCN4AceR9hgiP9s99PC
1A9PKAFEHMWgXNLpgf7k4J,Piensan,Myke Towers,Easy Money Baby,78,spotify:track:1A9PKAFEHMWgXNLpgf7k4J
7bywjHOc0wSjGGbj04XbVi,LUNA,Feid,FERXXOCALIPSIS,89,spotify:track:7bywjHOc0wSjGGbj04XbVi
7iQXYTyuG13aoeHxGG28Nh,PERRO NEGRO,Bad Bunny,nadie sabe lo que va a pasar mañana,86,spotify:track:7iQXYTyuG13aoeHxGG28Nh
2CeKVsFFXG4QzA415QygGb,Feliz Cumpleaños Ferxxo,Feid,FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,83,spotify:track:2CeKVsFFXG4QzA415QygGb
1hZsWUnLbqRw09jLAMQSsb,CLASSY 101,Feid,FERXXOCALIPSIS,80,spotify:track:1hZsWUnLbqRw09jLAMQSsb
2gmd7lY3QSzLh0xIY4cRvi,SE ME OLVIDA,Maisak,SE ME OLVIDA,83,spotify:track:2gmd7lY3QSzLh0xIY4cRvi
63pLfjK6FvcYJYMGwtHjd6,SORRY 4 THAT MUCH,Feid,SORRY 4 THAT MUCH,82,spotify:track:63pLfjK6FvcYJYMGwtHjd6
0T2pB7P1VdXPhLdQZ488uH,Normal,Feid,FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,81,spotify:track:0T2pB7P1VdXPhLdQZ488uH
5jt25aFjW2kNoBqaEVaz5W,LA INOCENTE,Mora,MICRODOSIS,81,spotify:track:5jt25aFjW2kNoBqaEVaz5W
4hY6swYPVeFVKFaormmzez,Romeo y Julieta,Eladio Carrion,DON KBRN,79,spotify:track:4hY6swYPVeFVKFaormmzez
15F8m8VShRlBXmSbwZBUTt,El Reggaetón del Disco,Eladio Carrion,DON KBRN,79,spotify:track:15F8m8VShRlBXmSbwZBUTt
4fZUG9dMyqlIFSnf1iitm1,H.I.M.,Eladio Carrion,DON KBRN,75,spotify:track:4fZUG9dMyqlIFSnf1iitm1
0PB0O24JqAuNdOAFVJljMS,Coco Chanel,Eladio Carrion,3MEN2 KBRN,77,spotify:track:0PB0O24JqAuNdOAFVJljMS
0GmiGIxXDNrePrHBpijYDp,Sigue Bailandome,Yannc,Sigue Bailandome,77,spotify:track:0GmiGIxXDNrePrHBpijYDp
1Sym1HsTqsa2pYKhYL1j15,Me Gustas Natural,Eladio Carrion,Sauce Boyz 2,76,spotify:track:1Sym1HsTqsa2pYKhYL1j15
0MEZYGMSPxNwUO4nAdQRBW,Hola Como Vas,Eladio Carrion,Sauce Boyz 2,75,spotify:track:0MEZYGMSPxNwUO4nAdQRBW
1F205Nl2feOSYSztLNOJAL,3 Am,Eladio Carrion,Sauce Boyz,75,spotify:track:1F205Nl2feOSYSztLNOJAL
4jhHaLksdP8DJZzxYAjOSz,Kemba Walker,Eladio Carrion,Sauce Boyz,71,spotify:track:4jhHaLksdP8DJZzxYAjOSz
5FLzweTtgQurkLPs0E7uEO,Priti,Danny Ocean,Priti,85,spotify:track:5FLzweTtgQurkLPs0E7uEO
0G2zPzWqVjR68iNPmx2TBe,Volando - Remix,Mora,Volando (Remix),78,spotify:track:0G2zPzWqVjR68iNPmx2TBe
38RIEav39FGi86jppxO0du,Ignorantes,Bad Bunny,YHLQMDLG,71,spotify:track:38RIEav39FGi86jppxO0du
061HqlGR7nPHyCUM4raLXy,Baby,Sech,Baby,74,spotify:track:061HqlGR7nPHyCUM4raLXy
5Id5B3dxJZhPcV9GzgYZZe,Quizas,Rich Music LTD,The Academy,73,spotify:track:5Id5B3dxJZhPcV9GzgYZZe
34ZngZgo8xicbt1EE8Ob8Z,Porno,Rich Music LTD,The Academy,73,spotify:track:34ZngZgo8xicbt1EE8Ob8Z
5e8M02M7AhEeED3dM1VrnF,Desde Mis Ojos - Remix,Chris Lebron,En Honor Al Que Ama,68,spotify:track:5e8M02M7AhEeED3dM1VrnF
7fODjB7BrQTGqh0hogW6XD,Que Mas Pues - Remix,Sech,Sueños,73,spotify:track:7fODjB7BrQTGqh0hogW6XD
1XxmTx7ZzI2xLvS8SqlXs9,Sigues Con El,Arcángel,Historias de un Capricornio,68,spotify:track:1XxmTx7ZzI2xLvS8SqlXs9
0QoaFLmBJyuVuzOIGy6iCS,LA RANGER (feat. Myke Towers),The Academy: Segunda Misión,The Academy: Segunda Misión,70,spotify:track:0QoaFLmBJyuVuzOIGy6iCS
4TOmcZvw0gHa7GiXRbcYAW,PORFA,Feid,FERXXO (VOL 1: M.O.R),76,spotify:track:4TOmcZvw0gHa7GiXRbcYAW
7anSoGdgtmJTAPZBzcPhO6,Cuaderno,Dalex,Climaxxx,74,spotify:track:7anSoGdgtmJTAPZBzcPhO6
6lX6l7OuA3qrnIRfdsr0dw,Medallo,Blessd,Hecho En Medellín,74,spotify:track:6lX6l7OuA3qrnIRfdsr0dw
6b2HYgqcK9mvktt4GxAu72,Loco,Justin Quiles,La Última Promesa,69,spotify:track:6b2HYgqcK9mvktt4GxAu72
3GY16GkbrhV1hya2TKsaaj,"SI SI SI SI (feat. Eladio Carrion, Bryant Myers, Dei V)",The Academy: Segunda Misión,The Academy: Segunda Misión,67,spotify:track:3GY16GkbrhV1hya2TKsaaj
41XmmKJHx1ZAH0Iykgjxfx,"QUÍTENME EL TELÉFONO (feat. Yandel, Jay Wheeler)",The Academy: Segunda Misión,The Academy: Segunda Misión,67,spotify:track:41XmmKJHx1ZAH0Iykgjxfx
5ESAML4PZAbsiTK6OgRV2q,Egoísta,Justin Quiles,La Promesa,69,spotify:track:5ESAML4PZAbsiTK6OgRV2q
5yAIrkplUEpMNeojW8Q30o,OJOS FERRARI,KAROL G,MAÑANA SERÁ BONITO,67,spotify:track:5yAIrkplUEpMNeojW8Q30o
2SkB7jADnfiWH8qAE9H8cO,En Privado,Xavi,En Privado,89,spotify:track:2SkB7jADnfiWH8qAE9H8cO
3tt9i3Hhzq84dPS8H7iSiJ,La Bachata,Manuel Turizo,2000,82,spotify:track:3tt9i3Hhzq84dPS8H7iSiJ
1MB8kTH7VKvAMfL9SHgJmG,Vagabundo,Sebastian Yatra,Vagabundo,83,spotify:track:1MB8kTH7VKvAMfL9SHgJmG
0lbDzTINTToToBpkrnQT2t,UNA CERVEZA,Fuerza Regida,Pa las Baby's Y Belikeada,81,spotify:track:0lbDzTINTToToBpkrnQT2t
56f5qnyAlZdlz8wrUDA50h,Desconocidos,Mau y Ricky,Para Aventuras y Curiosidades,80,spotify:track:56f5qnyAlZdlz8wrUDA50h
